Number of epochs: 500
Batch size: 100
Start Date: 2024-10-10_2153
Epoch, Test Loss, Training Loss
448,0.0016148,0.0010838
449,0.0016967,0.0012564
450,0.0017476,0.0009203
451,0.0018280,0.0014032
452,0.0019403,0.0006233
453,0.0016754,0.0011951
454,0.0021241,0.0016013
455,0.0020588,0.0011524
456,0.0014586,0.0008614
457,0.0014121,0.0004675
458,0.0017212,0.0006637
459,0.0013402,0.0008052
460,0.0014807,0.0006954
461,0.0020032,0.0008926
462,0.0026674,0.0022137
463,0.0012916,0.0005443
464,0.0017405,0.0012220
465,0.0020623,0.0007317
466,0.0018577,0.0007518
467,0.0019889,0.0007427
468,0.0017091,0.0005691
469,0.0013889,0.0005860
470,0.0017941,0.0006199
471,0.0033356,0.0018383
472,0.0023269,0.0023879
473,0.0030628,0.0006624
474,0.0026090,0.0014260
475,0.0022758,0.0011861
476,0.0021295,0.0013410
477,0.0037895,0.0031753
478,0.0021288,0.0010277
479,0.0017834,0.0006646
480,0.0013123,0.0005490
481,0.0059690,0.0019961
482,0.0017234,0.0004248
483,0.0016950,0.0009166
484,0.0021322,0.0027039
485,0.0011961,0.0006137
486,0.0019095,0.0008387
487,0.0016138,0.0009168
488,0.0019155,0.0006508
489,0.0018190,0.0005153
490,0.0014900,0.0005297
491,0.0013881,0.0006194
492,0.0017408,0.0013212
493,0.0019216,0.0006423
494,0.0016470,0.0009236
495,0.0011756,0.0004269
496,0.0017254,0.0003751
497,0.0031620,0.0005218
498,0.0062060,0.0040560
499,0.0022743,0.0018223

Total training time: 7.73 minutes

Final Stats
RMSE = 0.141
MBE = 0.000
MAE = 0.079
PE = 3.376 %
